,Movie_id,Person_id
112,0110413,0000198
113,0110413,0000204
114,0407887,0000138
115,0407887,0000354
116,0407887,0000197
117,0120586,0001570
118,0120586,0000411
119,0120586,0000350
120,2582802,1886602
121,2582802,0799777
122,2582802,2552034
123,0482571,0000288
124,0482571,0413168
125,0482571,0424060
126,0095327,0851302
127,0095327,0794186
128,0095327,0945312
129,0056058,0619938
130,0056058,0410968
131,0056058,0412615
132,0114814,0000228
133,0114814,0000321
134,0114814,0001590
135,0034583,0000007
136,0034583,0000006
137,0034583,0002134
138,1675434,0167388
139,1675434,1082477
140,1675434,0494504
141,0027977,0000122
142,0027977,0002104
143,0027977,0074788
144,0095765,0634159
145,0095765,0134073
146,0095765,0041066
147,0047396,0000071
148,0047396,0000038
149,0047396,0179819
150,0064116,0000020
151,0064116,0000314
152,0064116,0001012
153,0078748,0000244
154,0078748,0000643
155,0078748,0000457
156,23849204,5447706
157,23849204,10791162
158,23849204,9744869
159,0021749,0000122
160,0021749,0156039
161,0021749,5681967
162,0078788,0000640
163,0078788,0000008
164,0078788,0000380
165,1853728,0004937
166,1853728,0910607
167,1853728,0000138
168,0209144,0001602
169,0209144,0005251
170,0209144,0001592
171,0910970,0123785
172,0910970,2264184
173,0910970,0307531
174,0082971,0000148
175,0082971,0000261
176,0082971,0293550
177,0405094,0618057
178,0405094,0311476
179,0405094,0462407
180,0043014,0000034
181,0043014,0841797
182,0043014,0002233
183,0050825,0000018
184,0050825,0576127
185,0050825,0579663
186,4154756,0000375
187,4154756,1165110
188,4154756,0749263
189,4633694,4271336
190,4633694,2159926
191,4633694,2794962
192,0081505,0000197
193,0081505,0001167
194,0081505,0515950
195,0051201,0000061
196,0051201,0000017
197,0051201,0001452
198,0032553,0000122
199,0032553,0002104
200,0032553,0642988
201,0090605,0000244
202,0090605,0000299
203,0090605,0001343
204,0361748,0000093
205,0361748,1208167
206,0361748,0744834
207,1345836,0000288
208,1345836,0362766
209,1345836,0004266
210,0169547,0000228
211,0169547,0000906
212,0169547,0000301
213,0057012,0000634
214,0057012,0001715
215,0057012,0001330
216,0364569,0158856
217,0364569,0949167
218,0364569,1367246
219,2380307,5645519
220,2380307,0305558
221,2380307,0000973
222,0086879,0000719
223,0086879,0001371
224,0086879,0000931
225,0114709,0000158
226,0114709,0000741
227,0114709,0725543
228,15398776,0614165
229,15398776,1289434
230,15398776,0000354
231,0082096,0001638
232,0082096,0344963
233,0082096,0921044
234,0112573,0000154
235,0112573,0000521
236,0112573,0001526
237,4154796,0000375
238,4154796,0262635
239,4154796,0749263
240,7286456,0001618
241,7286456,0000134
242,7286456,5939164
243,0119698,0559444
244,0119698,0410942
245,0119698,0849100
246,0119217,0000245
247,0119217,0000354
248,0119217,0000255
249,5311514,1126340
250,5311514,4759838
251,5311514,6954008
252,0087843,0000134
253,0087843,0000249
254,0087843,0001527
255,1187043,0451148
256,1187043,0534856
257,1187043,1587175
258,0057565,0001536
259,0057565,0755403
260,0057565,0619938
261,0045152,0000037
262,0045152,0640307
263,0045152,0001666
264,8267604,9862858
265,8267604,9862859
266,8267604,9862860
267,0180093,0000995
268,0180093,0001467
269,0180093,0000124
270,0091251,0470385
271,0091251,0592500
272,0091251,0490708
273,0435761,0000158
274,0435761,0000741
275,0435761,0000349
276,0086190,0000434
277,0086190,0000148
278,0086190,0000402
279,0338013,0000120
280,0338013,0000701
281,0338013,0929489
282,2106476,0586568
283,2106476,0488917
284,2106476,5038871
285,0062622,0001158
286,0062622,0516972
287,0062622,0843213
288,0105236,0000172
289,0105236,0000619
290,0105236,0000514
291,0044741,0793766
292,0044741,0437520
293,0044741,0385443
294,0056172,0000564
295,0056172,0000027
296,0056172,0000063
297,0053604,0000493
298,0053604,0000511
299,0053604,0534045
300,0033467,0000080
301,0033467,0001072
302,0033467,0173827
303,0053125,0000026
304,0053125,0001693
305,0053125,0000051
306,0022100,0000048
307,0022100,0927145
308,0022100,0484737
309,0052357,0000071
310,0052357,0001571
311,0052357,0000895
312,0036775,0534045
313,0036775,0001766
314,0036775,0000064
315,0086250,0000199
316,0086250,0000201
317,0086250,0000874
318,0211915,0851582
319,0211915,0440913
320,0211915,0749363
321,14230458,1297015
322,14230458,0749263
323,14230458,0000353
324,1255953,0044073
325,1255953,0246386
326,1255953,0309945
327,0093058,0000546
328,0093058,0000388
329,0093058,0000352
330,0066921,0000532
331,0066921,0535861
332,0066921,0060988
333,0113277,0000199
334,0113277,0000134
335,0113277,0000174
336,1049413,0000799
337,1049413,2973712
338,1049413,0001652
339,0056592,0000060
340,0056592,0576345
341,0056592,0653942
342,0070735,0000056
343,0070735,0000602
344,0070735,0001727
345,1832382,1818216
346,1832382,0368689
347,1832382,4299147
348,0097576,0000148
349,0097576,0000125
350,0097576,0233145
351,8503618,0592135
352,8503618,5623883
353,8503618,1502434
354,0095016,0000246
355,0095016,0000614
356,0095016,0000889
357,0017136,0375609
358,0017136,0002154
359,0017136,0297054
360,0986264,2594301
361,0986264,0451148
362,0986264,2540053
363,0208092,0005458
364,0208092,0000093
365,0208092,0334318
366,0040522,0536009
367,0040522,0821543
368,0040522,0136794
369,0119488,0000228
370,0119488,0000128
371,0119488,0001602
372,8579674,2835616
373,8579674,1126657
374,8579674,0990547
375,0075314,0000134
376,0075314,0000149
377,0075314,0001732
378,0363163,0004486
379,0363163,0487884
380,0363163,0559890
381,5074352,0451148
382,5074352,2799219
383,5074352,0760778
384,0059578,0000142
385,0059578,0001812
386,0059578,0002231
387,0372784,0000288
388,0372784,0000323
389,0372784,0913822
390,0053291,0000054
391,0053291,0000348
392,0053291,0000493
393,0993846,0000138
394,0993846,1706767
395,0993846,3053338
396,0012349,0000122
397,0012349,0701012
398,0012349,0001067
399,6966692,0001557
400,6966692,0991810
401,6966692,0004802
402,10272386,0000164
403,10272386,1469236
404,10272386,0309693
405,1745960,0000129
406,1745960,0000124
407,1745960,1886602
