,id,Name
394,0592500,Olga Mironova
395,0490708,Liubomiras Laucevicius
396,0000349,Joan Cusack
397,0000120,Jim Carrey
398,0000701,Kate Winslet
399,0929489,Tom Wilkinson
400,0586568,Mads Mikkelsen
401,0488917,Thomas Bo Larsen
402,5038871,Annika Wedderkopp
403,0001158,Keir Dullea
404,0516972,Gary Lockwood
405,0843213,William Sylvester
406,0000172,Harvey Keitel
407,0000619,Tim Roth
408,0000514,Michael Madsen
409,0437520,Nobuo Kaneko
410,0385443,Shin'ichi Himori
411,0000564,Peter O'Toole
412,0000027,Alec Guinness
413,0000063,Anthony Quinn
414,0000493,Jack Lemmon
415,0000511,Shirley MacLaine
416,0534045,Fred MacMurray
417,0001072,Joseph Cotten
418,0173827,Dorothy Comingore
419,0000026,Cary Grant
420,0001693,Eva Marie Saint
421,0000051,James Mason
422,0000048,Peter Lorre
423,0927145,Ellen Widmann
424,0484737,Inge Landgut
425,0001571,Kim Novak
426,0000895,Barbara Bel Geddes
427,0001766,Barbara Stanwyck
428,0000064,Edward G. Robinson
429,0000201,Michelle Pfeiffer
430,0000874,Steven Bauer
431,0851582,Audrey Tautou
432,0749363,Rufus
433,1297015,Emma Stone
434,0000353,Willem Dafoe
435,0044073,Lubna Azabal
436,0246386,Mélissa Désormeaux-Poulin
437,0309945,Maxim Gaudette
438,0000546,Matthew Modine
439,0000388,R. Lee Ermey
440,0000352,Vincent D'Onofrio
441,0000532,Malcolm McDowell
442,0535861,Patrick Magee
443,0060988,Michael Bates
444,0000174,Val Kilmer
445,0000799,Edward Asner
446,2973712,Jordan Nagai
447,0001652,John Ratzenberger
448,0000060,Gregory Peck
449,0576345,John Megna
450,0653942,Frank Overton
451,0000056,Paul Newman
452,0000602,Robert Redford
453,0001727,Robert Shaw
454,1818216,Payman Maadi
455,0368689,Leila Hatami
456,4299147,Sareh Bayat
457,0000125,Sean Connery
458,0233145,Alison Doody
459,0592135,Lin-Manuel Miranda
460,5623883,Phillipa Soo
461,1502434,Leslie Odom Jr.
462,0000246,Bruce Willis
463,0000614,Alan Rickman
464,0000889,Bonnie Bedelia
465,0375609,Brigitte Helm
466,0002154,Alfred Abel
467,0297054,Gustav Fröhlich
468,2594301,Darsheel Safary
469,2540053,Tanay Chheda
470,0005458,Jason Statham
471,0334318,Stephen Graham
472,0536009,Lamberto Maggiorani
473,0821543,Enzo Staiola
474,0136794,Lianella Carell
475,2835616,Dean-Charles Chapman
476,1126657,George MacKay
477,0990547,Daniel Mays
478,0001732,Cybill Shepherd
479,0004486,Bruno Ganz
480,0487884,Alexandra Maria Lara
481,0559890,Ulrich Matthes
482,2799219,Sakshi Tanwar
483,0760778,Fatima Sana Shaikh
484,0002231,Gian Maria Volontè
485,0000323,Michael Caine
486,0913822,Ken Watanabe
487,0000054,Marilyn Monroe
488,0000348,Tony Curtis
489,1706767,Jonah Hill
490,3053338,Margot Robbie
491,0701012,Edna Purviance
492,0001067,Jackie Coogan
493,0991810,Mahershala Ali
494,0004802,Linda Cardellini
495,1469236,Olivia Colman
496,0309693,Mark Gatiss
497,0000129,Tom Cruise
498,0000012,Bette Davis
499,0000879,Anne Baxter
500,0001695,George Sanders
501,0000075,Spencer Tracy
502,0000044,Burt Lancaster
503,0001847,Richard Widmark
504,0000438,Ed Harris
505,0001473,Laura Linney
506,0000358,Daniel Day-Lewis
507,0200452,Paul Dano
508,0001354,Ciarán Hinds
509,0607865,Emily Mortimer
510,0000232,Sharon Stone
511,0855417,Akira Terao
512,0628704,Jinpachi Nezu
513,0000554,Sam Neill
514,0000368,Laura Dern
515,0000156,Jeff Goldblum
516,0005286,Haley Joel Osment
517,0001057,Toni Collette
518,1419440,Ivana Baquero
519,0317725,Ariadna Gil
520,0530365,Sergi López
521,0000432,Gene Hackman
522,0000169,Tommy Lee Jones
523,0000849,Javier Bardem
524,0000982,Josh Brolin
525,0404158,Walter Huston
526,0392529,Tim Holt
527,0867391,Eijirô Tôno
528,0000621,Kurt Russell
529,0000979,Wilford Brimley
530,0202966,Keith David
531,0001016,David Carradine
532,0000435,Daryl Hannah
533,0001037,Graham Chapman
534,0000092,John Cleese
535,0001385,Eric Idle
536,0000537,Steve McQueen
537,0001258,James Garner
538,0000277,Richard Attenborough
539,0000983,Albert Brooks
540,0001122,Ellen DeGeneres
541,1071252,Alexander Gould
542,0477553,Machiko Kyô
543,0605270,Masayuki Mori
544,0000843,Anne Bancroft
545,0047962,Chieko Baishô
546,0454120,Takuya Kimura
547,0309107,Tatsuya Gashûin
548,0001159,Faye Dunaway
549,0350453,Jake Gyllenhaal
550,0205626,Viola Davis
551,0001537,Ray Milland
552,0191950,Robert Cummings
553,0000022,Clark Gable
554,0000046,Vivien Leigh
555,0593775,Thomas Mitchell
556,0915989,Hugo Weaving
557,0001291,Rupert Graves
558,0002076,Jason Flemyng
559,0002077,Dexter Fletcher
560,0602941,Nick Moran
561,0201857,Ricardo Darín
562,0897845,Soledad Villamil
563,0706567,Pablo Rago
564,0001550,Cathy Moriarty
565,0688132,Amy Poehler
566,0352778,Bill Hader
567,0085400,Lewis Black
568,0000531,Frances McDormand
569,0000437,Woody Harrelson
570,0005377,Sam Rockwell
571,0000191,Ewan McGregor
572,0001971,Ewen Bremner
573,0001538,Jonny Lee Miller
574,0370144,Jack Hawkins
575,4043618,Tom Holland
576,3918035,Zendaya
577,1212722,Benedict Cumberbatch
578,0000513,William H. Macy
579,0000114,Steve Buscemi
580,4947538,Minami Hamabe
581,2747232,Sakura Ando
582,0000560,Nick Nolte
583,0249291,Joel Edgerton
584,0005403,Jason Schwartzman
585,0429069,Rashida Jones
586,0000686,Christopher Walken
587,3057402,Bee Vang
588,1542291,Christopher Carley
589,0847054,Hitoshi Takagi
590,0383022,Noriko Hidaka
591,0757076,Chika Sakamoto
592,0005476,Hilary Swank
593,0705356,Daniel Radcliffe
594,0914612,Emma Watson
595,0342488,Rupert Grint
