,Movie_id,Title,Year,Runtime,Parental_Guide,Gross_US_Canada
214,0075148,Rocky,1976,120,PG,117235147.0
215,0395169,Hotel Rwanda,2004,121,PG-13,23530892.0
216,3315342,Logan,2017,137,R,226277068.0
217,1895587,Spotlight,2015,129,R,45055776.0
218,0091763,Platoon,1986,120,R,138530565.0
219,0019254,The Passion of Joan of Arc,1928,114,Passed,21877.0
220,0088247,The Terminator,1984,107,R,38371200.0
221,15097216,Jai Bhim,2021,164,TV-MA,
222,0381681,Before Sunset,2004,80,R,5820649.0
223,0036868,The Best Years of Our Lives,1946,170,Approved,23650000.0
224,0113247,La haine,1995,98,Unrated,280859.0
225,1979320,Rush,2013,123,R,26947624.0
226,0074958,Network,1976,121,R,23689877.0
227,0070047,The Exorcist,1973,122,R,233005644.0
228,0092005,Stand by Me,1986,89,R,52287414.0
229,0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,305413918.0
230,0032138,The Wizard of Oz,1939,102,G,24668669.0
231,0317705,The Incredibles,2004,115,PG,261441092.0
232,0758758,Into the Wild,2007,148,R,18354356.0
233,1028532,Hachi: A Dog's Tale,2009,93,G,
234,4016934,The Handmaiden,2016,145,Unrated,2006788.0
235,0035446,To Be or Not to Be,1942,99,Passed,3270000.0
236,0476735,My Father and My Son,2005,112,Unrated,
237,0032551,The Grapes of Wrath,1940,129,Passed,
238,0058946,The Battle of Algiers,1966,121,Unrated,879794.0
239,0107048,Groundhog Day,1993,101,PG,71107962.0
240,0059742,The Sound of Music,1965,172,G,159287539.0
241,0245712,Amores Perros,2000,154,R,5408467.0
242,0032976,Rebecca,1940,130,Approved,
243,0061512,Cool Hand Luke,1967,127,GP,
244,0129167,The Iron Giant,1999,86,PG,23315035.0
245,1454029,The Help,2011,146,PG-13,169708112.0
246,0025316,It Happened One Night,1934,105,Passed,
247,0053198,The 400 Blows,1959,99,Unrated,509.0
248,4430212,Drishyam,2015,163,Unrated,
249,0103639,Aladdin,1992,90,G,217350219.0
